asset id,asset parent id,Parent asset type,Asset Agency,Parent Agency
v9wr-6vct,,,"Public Instruction, Office of Superintendent of (OSPI)",
jebn-z5t8,,,"Ecology, Department of (ECY)",
w6fr-u9yr,,,"Public Instruction, Office of Superintendent of (OSPI)",
92n2-g5u8,,,"Public Instruction, Office of Superintendent of (OSPI)",
jb33-nnt4,,,"Enterprise Services, Department of (DES)",
t2ma-375b,,,"Public Instruction, Office of Superintendent of (OSPI)",
bcgk-a745,,,"Public Instruction, Office of Superintendent of (OSPI)",
5f6w-bkug,,,"Public Instruction, Office of Superintendent of (OSPI)",
8gh5-f3jx,,,"Public Instruction, Office of Superintendent of (OSPI)",
3iqm-d89h,,,Asotin County Library,
j3q2-t54d,,,Washington State Technology Solutions (CTS),
mydi-8bry,,,"Health, Department of (DOH)",
sfcm-cq44,,,"Public Instruction, Office of Superintendent of (OSPI)",
xtke-qfdh,,,"Public Instruction, Office of Superintendent of (OSPI)",
bgqa-nudu,,,"Public Instruction, Office of Superintendent of (OSPI)",
pj6g-63ds,,,"Public Instruction, Office of Superintendent of (OSPI)",
h53h-piym,,,Asotin County Library,
33xd-jxf3,,,"Public Instruction, Office of Superintendent of (OSPI)",
prhd-i9rb,,,"Public Instruction, Office of Superintendent of (OSPI)",
b2jm-3cu6,,,"Public Instruction, Office of Superintendent of (OSPI)",
pysm-wfzq,,,"Public Instruction, Office of Superintendent of (OSPI)",
gim5-5vua,,,"Public Instruction, Office of Superintendent of (OSPI)",
yspp-ba97,,,"Public Instruction, Office of Superintendent of (OSPI)",
8qeu-uzc8,,,"Financial Management, Office of (OFM)",
p2mx-vu4i,,,"Public Instruction, Office of Superintendent of (OSPI)",
4a8d-cyx3,,,"Public Instruction, Office of Superintendent of (OSPI)",
ct6b-2a3g,,,"Public Instruction, Office of Superintendent of (OSPI)",
gue6-r6cr,,,"Public Instruction, Office of Superintendent of (OSPI)",
29xg-vcgr,,,"Public Instruction, Office of Superintendent of (OSPI)",
3tpg-59xz,,,Public Disclosure Commission (PDC),
r485-6cu3,,,"Health, Department of (DOH)",
hm9j-euxv,,,Asotin County Library,
dt4v-ktzd,,,"Public Instruction, Office of Superintendent of (OSPI)",
pt4z-np8r,,,"Financial Management, Office of (OFM)",
xsxn-m8ws,,,"Public Instruction, Office of Superintendent of (OSPI)",
7h7g-7p7x,,,"Public Instruction, Office of Superintendent of (OSPI)",
utai-ne9m,,,"Public Instruction, Office of Superintendent of (OSPI)",
aizx-yq7b,,,"Salmon Recovery Office, Governor's (GSRO)",
5vws-2iak,,,"Public Instruction, Office of Superintendent of (OSPI)",
g8rz-237j,,,"Ecology, Department of (ECY)",
vtnn-bptp,,,"Ecology, Department of (ECY)",
qc5v-ahss,,,"Public Instruction, Office of Superintendent of (OSPI)",
fugq-7tcj,,,"Public Instruction, Office of Superintendent of (OSPI)",
yviq-yqm5,,,Asotin County Library,
yrqe-ckry,,,Recreation and Conservation Office (RCO),
dijq-abu7,,,"Public Instruction, Office of Superintendent of (OSPI)",
si4n-pdj8,,,"Salmon Recovery Office, Governor's (GSRO)",
mg2u-dmh8,,,"Ecology, Department of (ECY)",
sruu-79x3,,,"Public Instruction, Office of Superintendent of (OSPI)",
em76-wu5r,,,"Public Instruction, Office of Superintendent of (OSPI)",
8rwy-ydat,,,"Salmon Recovery Office, Governor's (GSRO)",
58i7-3zmh,,,Other external user,
q5hy-fsdw,,,"Public Instruction, Office of Superintendent of (OSPI)",
36b6-yndh,,,"Public Instruction, Office of Superintendent of (OSPI)",
xuwr-yzri,,,"Financial Management, Office of (OFM)",
sk62-bqfb,,,"Public Instruction, Office of Superintendent of (OSPI)",
yaum-5pxn,,,"Public Instruction, Office of Superintendent of (OSPI)",
ehmm-ppst,,,"Public Instruction, Office of Superintendent of (OSPI)",
5bwd-tiir,,,"Public Instruction, Office of Superintendent of (OSPI)",
6enn-tmg8,,,"Accountancy, State Board of (WBOA)(ACB)",
xv29-h3b9,,,"Financial Management, Office of (OFM)",
jh45-5svw,,,"Public Instruction, Office of Superintendent of (OSPI)",
cis7-zb9y,,,"Health, Department of (DOH)",
kbq4-5wwb,,,"Public Instruction, Office of Superintendent of (OSPI)",
uznq-dmwp,,,"Public Instruction, Office of Superintendent of (OSPI)",
g6ti-6wmi,,,"Public Instruction, Office of Superintendent of (OSPI)",
2u3r-ngvc,,,"Public Instruction, Office of Superintendent of (OSPI)",
h2f2-ury3,,,"Public Instruction, Office of Superintendent of (OSPI)",
x2yi-4z36,,,Public Disclosure Commission (PDC),
jqyt-mtd3,,,"Public Instruction, Office of Superintendent of (OSPI)",
6ype-egm5,,,"Public Instruction, Office of Superintendent of (OSPI)",
9tbn-94h5,,,"Public Instruction, Office of Superintendent of (OSPI)",
9u98-4g67,,,"Public Instruction, Office of Superintendent of (OSPI)",
ktfc-a9pf,,,"Public Instruction, Office of Superintendent of (OSPI)",
8zww-vayi,,,"Public Instruction, Office of Superintendent of (OSPI)",
46ma-qcrb,,,"Public Instruction, Office of Superintendent of (OSPI)",
cpcg-ukrk,,,"Public Instruction, Office of Superintendent of (OSPI)",
ehpc-8nxr,,,"Public Instruction, Office of Superintendent of (OSPI)",
x4sx-2pxw,,,"Public Instruction, Office of Superintendent of (OSPI)",
sge3-txba,,,"Ecology, Department of (ECY)",
xkea-niae,,,"Financial Management, Office of (OFM)",
ck96-gbz8,,,"Public Instruction, Office of Superintendent of (OSPI)",
h4fc-ar7e,,,Asotin County Library,
8uxy-rmi4,,,"Public Instruction, Office of Superintendent of (OSPI)",
8inw-93tp,,,"Public Instruction, Office of Superintendent of (OSPI)",
b6ah-hhky,,,"Public Instruction, Office of Superintendent of (OSPI)",
qk3m-g8kj,,,"Public Instruction, Office of Superintendent of (OSPI)",
5tey-3n6n,,,"Public Instruction, Office of Superintendent of (OSPI)",
2yp7-rmbs,,,"Ecology, Department of (ECY)",
mu48-jppy,,,"Financial Management, Office of (OFM)",
yms2-b2pb,,,"Public Instruction, Office of Superintendent of (OSPI)",
an3u-kvyz,,,"Public Instruction, Office of Superintendent of (OSPI)",
qprw-8xx6,,,"Public Instruction, Office of Superintendent of (OSPI)",
7skj-mrmq,,,"Public Instruction, Office of Superintendent of (OSPI)",
p2du-a442,,,"Financial Management, Office of (OFM)",
knvh-3hkw,,,Other external user,
3zbd-5suf,,,Washington State Technology Solutions (CTS),
2ezd-3e89,,,Timberland Regional Library,
bzcp-ihez,,,"Public Instruction, Office of Superintendent of (OSPI)",
6sum-3nee,,,"Financial Management, Office of (OFM)",
t5kw-imiu,,,"Public Instruction, Office of Superintendent of (OSPI)",
iaza-iip7,,,"Public Instruction, Office of Superintendent of (OSPI)",
tqqi-pa84,,,"Public Instruction, Office of Superintendent of (OSPI)",
kha5-66bu,,,"Public Instruction, Office of Superintendent of (OSPI)",
yrt8-u4sa,,,"Public Instruction, Office of Superintendent of (OSPI)",
bq5d-75jf,,,Public Disclosure Commission (PDC),
whww-yzxh,,,Other external user,
iz32-gxvx,,,"Public Instruction, Office of Superintendent of (OSPI)",
ptb2-zhpx,,,"Financial Management, Office of (OFM)",
hxa5-2hwh,,,"Salmon Recovery Office, Governor's (GSRO)",
f9t8-egi4,,,"Financial Management, Office of (OFM)",
6yqm-yk5v,,,"Public Instruction, Office of Superintendent of (OSPI)",
vpxf-re9e,,,"Natural Resources, Department of (DNR)",
7sbd-r5e7,,,"Public Instruction, Office of Superintendent of (OSPI)",
uzkg-7gt4,,,Asotin County Library,
re8t-6u33,,,"Public Instruction, Office of Superintendent of (OSPI)",
kxva-cvqf,,,Asotin County Library,
6z5n-2pgp,,,"Public Instruction, Office of Superintendent of (OSPI)",
g6x7-fzc8,,,"Public Instruction, Office of Superintendent of (OSPI)",
meyu-a42z,,,"Enterprise Services, Department of (DES)",
2gs3-f4hi,,,Timberland Regional Library,
4sfe-aak8,,,"Public Instruction, Office of Superintendent of (OSPI)",
ewe9-rbvx,,,"Public Instruction, Office of Superintendent of (OSPI)",
xutd-i2ya,,,"Financial Management, Office of (OFM)",
h38b-6j3f,,,"Public Instruction, Office of Superintendent of (OSPI)",
bjtk-4hmq,,,"Public Instruction, Office of Superintendent of (OSPI)",
kctb-p96m,,,"Health, Department of (DOH)",
widp-xaka,,,"Public Instruction, Office of Superintendent of (OSPI)",
fjg8-b37r,,,"Fish and Wildlife, Department of (DFW)",
v8wz-qix8,,,"Public Instruction, Office of Superintendent of (OSPI)",
nvwb-gsip,,,"Public Instruction, Office of Superintendent of (OSPI)",
7ux3-8f46,pchc-4957,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
qe9t-sekf,,,"Public Instruction, Office of Superintendent of (OSPI)",
qcxr-qjvy,,,"Public Instruction, Office of Superintendent of (OSPI)",
b2df-wmbb,,,"Public Instruction, Office of Superintendent of (OSPI)",
qcz9-59th,,,"Public Instruction, Office of Superintendent of (OSPI)",
dtm4-hsyt,,,"Public Instruction, Office of Superintendent of (OSPI)",
pueu-z8d8,,,"Financial Management, Office of (OFM)",
k82m-iy35,,,"Public Instruction, Office of Superintendent of (OSPI)",
vacn-egmt,,,"Public Instruction, Office of Superintendent of (OSPI)",
br3u-yd7h,,,"Public Instruction, Office of Superintendent of (OSPI)",
nwwm-sybe,,,"Public Instruction, Office of Superintendent of (OSPI)",
5frz-f59x,,,"Public Instruction, Office of Superintendent of (OSPI)",
9ax3-9gaq,,,"Salmon Recovery Office, Governor's (GSRO)",
8ata-k8m7,,,"Public Instruction, Office of Superintendent of (OSPI)",
dw8h-7ikd,,,"Public Instruction, Office of Superintendent of (OSPI)",
8s65-psj8,,,"Public Instruction, Office of Superintendent of (OSPI)",
5icz-miuk,,,"Public Instruction, Office of Superintendent of (OSPI)",
fxkg-3zcr,,,Other external user,
ryhd-eb7j,,,"Public Instruction, Office of Superintendent of (OSPI)",
wwqz-t9rc,,,Other external user,
2kp3-yaqe,,,"Natural Resources, Department of (DNR)",
iew9-2qjh,,,"Public Instruction, Office of Superintendent of (OSPI)",
82bv-miic,,,Asotin County Library,
azsd-7b76,,,"Employment Security, Department of (ESD)",
p8yd-9rrr,,,"Public Instruction, Office of Superintendent of (OSPI)",
kycu-bgca,,,"Public Instruction, Office of Superintendent of (OSPI)",
62rc-rzqw,,,"Public Instruction, Office of Superintendent of (OSPI)",
pbit-285g,,,"Attorney General, Office of the (ATG)",
j8hk-dnp4,,,"Public Instruction, Office of Superintendent of (OSPI)",
cxet-b9xn,,,"Public Instruction, Office of Superintendent of (OSPI)",
mzq4-cjry,,,"Public Instruction, Office of Superintendent of (OSPI)",
v3jm-kjdj,,,"Public Instruction, Office of Superintendent of (OSPI)",
3mvq-959q,,,"Salmon Recovery Office, Governor's (GSRO)",
2ixz-g4gj,,,"Financial Management, Office of (OFM)",
szpm-i3b3,,,"Public Instruction, Office of Superintendent of (OSPI)",
v8uw-z5ww,,,"Public Instruction, Office of Superintendent of (OSPI)",
4jev-rxx5,,,"Public Instruction, Office of Superintendent of (OSPI)",
u3ba-5wiw,,,"Public Instruction, Office of Superintendent of (OSPI)",
ewrq-cids,,,"Public Instruction, Office of Superintendent of (OSPI)",
hc7a-9nhh,,,Recreation and Conservation Office (RCO),
vrbf-jw67,,,"Licensing, Department of (DOL)",
mweu-84f8,,,"Salmon Recovery Office, Governor's (GSRO)",
t97y-g2vk,,,"Public Instruction, Office of Superintendent of (OSPI)",
vbm9-rfsw,,,"Public Instruction, Office of Superintendent of (OSPI)",
68uq-pxcg,,,"Public Instruction, Office of Superintendent of (OSPI)",
bams-82px,,,"Public Instruction, Office of Superintendent of (OSPI)",
bgqi-pt2d,,,"Public Instruction, Office of Superintendent of (OSPI)",
bxa6-wyb2,,,"Ecology, Department of (ECY)",
khaa-rkzz,,,"Public Instruction, Office of Superintendent of (OSPI)",
8amh-23qw,,,"Public Instruction, Office of Superintendent of (OSPI)",
be8t-yyf3,,,"Public Instruction, Office of Superintendent of (OSPI)",
5h4q-mhr6,sb4j-ca4h,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
p8v5-cmxp,,,"Public Instruction, Office of Superintendent of (OSPI)",
3b2u-fmze,,,"Public Instruction, Office of Superintendent of (OSPI)",
i8h6-ha8i,,,"Health, Department of (DOH)",
kdns-xv3j,,,"Public Instruction, Office of Superintendent of (OSPI)",
axcb-n2ht,,,"Public Instruction, Office of Superintendent of (OSPI)",
apw6-7tx8,,,"Public Instruction, Office of Superintendent of (OSPI)",
m7ih-hj3u,,,"Salmon Recovery Office, Governor's (GSRO)",
ewi6-htm6,,,"Public Instruction, Office of Superintendent of (OSPI)",
b342-5fht,,,"Public Instruction, Office of Superintendent of (OSPI)",
9wdu-g3zg,,,"Public Instruction, Office of Superintendent of (OSPI)",
aj96-7m4a,,,"Salmon Recovery Office, Governor's (GSRO)",
fnxg-77yc,,,"Public Instruction, Office of Superintendent of (OSPI)",
pdf6-j6rq,,,"Public Instruction, Office of Superintendent of (OSPI)",
82ck-bmn3,,,"Public Instruction, Office of Superintendent of (OSPI)",
6krc-ep4u,,,"Public Instruction, Office of Superintendent of (OSPI)",
3ark-c4eq,,,"Public Instruction, Office of Superintendent of (OSPI)",
yjcd-6a6b,,,"Public Instruction, Office of Superintendent of (OSPI)",
7zgt-pjex,,,Asotin County Library,
3neh-hjr7,,,"Salmon Recovery Office, Governor's (GSRO)",
7msd-qq2c,,,"Public Instruction, Office of Superintendent of (OSPI)",
rnqm-6ysv,,,"Public Instruction, Office of Superintendent of (OSPI)",
kcsj-kre2,,,"Health, Department of (DOH)",
ahwm-2jyd,,,"Public Instruction, Office of Superintendent of (OSPI)",
ex59-vc76,,,"Public Instruction, Office of Superintendent of (OSPI)",
xinj-se27,,,"Public Instruction, Office of Superintendent of (OSPI)",
vrpv-n4sj,,,"Licensing, Department of (DOL)",
djuz-f3q4,k882-u84m,parent asset is private or deleted,Asotin County Library,parent asset is private or deleted
fejs-uwea,,,"Public Instruction, Office of Superintendent of (OSPI)",
67bq-8uyv,,,"Public Instruction, Office of Superintendent of (OSPI)",
2w7x-mddx,,,"Public Instruction, Office of Superintendent of (OSPI)",
47th-59sm,,,"Public Instruction, Office of Superintendent of (OSPI)",
kzqz-fqbb,,,Recreation and Conservation Office (RCO),
8e7w-epmh,,,"Fish and Wildlife, Department of (DFW)",
n6m4-tuzb,,,"Public Instruction, Office of Superintendent of (OSPI)",
dwa9-i6e2,,,"Public Instruction, Office of Superintendent of (OSPI)",
y4em-3pyx,,,"Salmon Recovery Office, Governor's (GSRO)",
75ah-mmef,,,"Public Instruction, Office of Superintendent of (OSPI)",
vbw8-8q5r,,,"Public Instruction, Office of Superintendent of (OSPI)",
gd5d-tare,,,"Public Instruction, Office of Superintendent of (OSPI)",
rzcu-wf8g,,,"Public Instruction, Office of Superintendent of (OSPI)",
mc6c-jp2w,,,"Secretary of State, Office of the (SECSTATE)",
xvg8-jics,,,"Financial Management, Office of (OFM)",
prgb-fumj,,,"Public Instruction, Office of Superintendent of (OSPI)",
rcv9-885n,,,"Public Instruction, Office of Superintendent of (OSPI)",
hx3j-8p6y,,,"Salmon Recovery Office, Governor's (GSRO)",
dsue-f9d3,,,"Public Instruction, Office of Superintendent of (OSPI)",
ufce-hqxh,,,"Public Instruction, Office of Superintendent of (OSPI)",
uzpk-phtf,pchc-4957,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
vq5s-hbqh,,,"Licensing, Department of (DOL)",
nr23-pueq,,,"Ecology, Department of (ECY)",
h8w5-fyny,,,Asotin County Library,
5cv6-92wf,,,"Public Instruction, Office of Superintendent of (OSPI)",
8jaj-rsgi,,,"Public Instruction, Office of Superintendent of (OSPI)",
shzk-7zmm,,,"Public Instruction, Office of Superintendent of (OSPI)",
274c-udtk,,,"Public Instruction, Office of Superintendent of (OSPI)",
w34b-qixt,,,"Public Instruction, Office of Superintendent of (OSPI)",
qt9f-m8yj,,,"Public Instruction, Office of Superintendent of (OSPI)",
qbcd-agb2,,,"Public Instruction, Office of Superintendent of (OSPI)",
8pm5-vqty,,,"Public Instruction, Office of Superintendent of (OSPI)",
jdw9-sbpn,,,"Ecology, Department of (ECY)",
cyz9-dxua,,,"Public Instruction, Office of Superintendent of (OSPI)",
77pc-gjiz,,,"Public Instruction, Office of Superintendent of (OSPI)",
8fan-w664,,,"Public Instruction, Office of Superintendent of (OSPI)",
ycp8-fuxz,,,"Public Instruction, Office of Superintendent of (OSPI)",
689m-sytj,,,"Public Instruction, Office of Superintendent of (OSPI)",
7dy2-7w2v,,,"Public Instruction, Office of Superintendent of (OSPI)",
eaun-tyr7,,,"Public Instruction, Office of Superintendent of (OSPI)",
aesf-wj7v,,,Other external user,
4tnv-q46z,,,"Public Instruction, Office of Superintendent of (OSPI)",
dcz9-brdp,,,"Public Instruction, Office of Superintendent of (OSPI)",
sa94-ben3,,,"Public Instruction, Office of Superintendent of (OSPI)",
tqqj-jzi2,,,"Public Instruction, Office of Superintendent of (OSPI)",
22zm-s6ze,,,,
3wdq-5w4i,,,Washington State Technology Solutions (CTS),
v38v-5m63,,,"Public Instruction, Office of Superintendent of (OSPI)",
bhfh-qxr9,,,"Public Instruction, Office of Superintendent of (OSPI)",
trpg-bxfh,sibs-5k6j,dataset,Other external user,"Ecology, Department of (ECY)"
7qw7-kwz2,,,"Public Instruction, Office of Superintendent of (OSPI)",
qi7a-f2cf,,,"Health, Department of (DOH)",
8np5-bhcu,,,"Public Instruction, Office of Superintendent of (OSPI)",
keiv-qr69,,,"Public Instruction, Office of Superintendent of (OSPI)",
7tip-ghsw,,,"Public Instruction, Office of Superintendent of (OSPI)",
vamw-przc,,,"Public Instruction, Office of Superintendent of (OSPI)",
uwaz-vdsi,,,"Public Instruction, Office of Superintendent of (OSPI)",
ca2e-nr2j,,,"Public Instruction, Office of Superintendent of (OSPI)",
shmz-zeet,,,"Ecology, Department of (ECY)",
kyaa-35pb,,,Asotin County Library,
mvuz-cqyp,,,"Financial Management, Office of (OFM)",
32if-3xs2,,,"Public Instruction, Office of Superintendent of (OSPI)",
j7s8-qcri,,,Public Disclosure Commission (PDC),
hcvs-zi2k,,,"Public Instruction, Office of Superintendent of (OSPI)",
f9az-gz83,,,"Financial Management, Office of (OFM)",
rmb4-vyd9,,,"Public Instruction, Office of Superintendent of (OSPI)",
xkcu-gr55,,,"Financial Management, Office of (OFM)",
ikv7-33pt,,,"Labor & Industries, Department of (LNI)",
mpnn-b2tz,,,"Public Instruction, Office of Superintendent of (OSPI)",
buh7-khec,,,"Public Instruction, Office of Superintendent of (OSPI)",
akmz-x3wx,,,Timberland Regional Library,
shzv-kcqs,,,"Salmon Recovery Office, Governor's (GSRO)",
48ew-jvjk,,,"Public Instruction, Office of Superintendent of (OSPI)",
8r95-dwwe,,,"Public Instruction, Office of Superintendent of (OSPI)",
8gk6-vuxy,9f5q-vk4q,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
wmiu-tb7z,,,"Public Instruction, Office of Superintendent of (OSPI)",
p4mz-4rrg,,,"Public Instruction, Office of Superintendent of (OSPI)",
cai3-fnqa,,,"Public Instruction, Office of Superintendent of (OSPI)",
vgnm-ha3z,,,Liquor and Cannabis Board (LCB),
2pyc-htab,,,"Public Instruction, Office of Superintendent of (OSPI)",
qpzm-35vp,,,"Public Instruction, Office of Superintendent of (OSPI)",
2gxc-b6gi,,,"Public Instruction, Office of Superintendent of (OSPI)",
qekv-ukdk,,,"Public Instruction, Office of Superintendent of (OSPI)",
8aq3-viqx,,,"Public Instruction, Office of Superintendent of (OSPI)",
g383-z3j8,,,"Public Instruction, Office of Superintendent of (OSPI)",
dsx5-8pjm,,,"Public Instruction, Office of Superintendent of (OSPI)",
ggtu-9rf3,,,"Public Instruction, Office of Superintendent of (OSPI)",
idwr-tmj3,,,"Public Instruction, Office of Superintendent of (OSPI)",
si8f-yh94,,,"Public Instruction, Office of Superintendent of (OSPI)",
rr9f-98x9,,,"Public Instruction, Office of Superintendent of (OSPI)",
8qjg-ymyk,,,"Public Instruction, Office of Superintendent of (OSPI)",
7djz-m5rq,,,"Public Instruction, Office of Superintendent of (OSPI)",
9kyq-bzeb,,,Public Disclosure Commission (PDC),
38qi-dsdr,,,"Public Instruction, Office of Superintendent of (OSPI)",
7edw-mt8h,,,"Public Instruction, Office of Superintendent of (OSPI)",
7adr-4vq2,,,"Public Instruction, Office of Superintendent of (OSPI)",
5qsg-rffr,,,"Children, Youth, and Families, Department of (DCYF)",
n5j5-n3nw,,,Recreation and Conservation Office (RCO),
eimg-axdy,,,"Public Instruction, Office of Superintendent of (OSPI)",
u3cu-cezh,,,"Public Instruction, Office of Superintendent of (OSPI)",
yebu-peqr,,,Recreation and Conservation Office (RCO),
gsdj-3i5g,,,"Public Instruction, Office of Superintendent of (OSPI)",
te5x-d5et,,,"Public Instruction, Office of Superintendent of (OSPI)",
9pzw-gcak,,,Timberland Regional Library,
cvnn-hdhq,,,"Public Instruction, Office of Superintendent of (OSPI)",
4252-r6aw,,,"Public Instruction, Office of Superintendent of (OSPI)",
jt2g-qvtk,,,"Public Instruction, Office of Superintendent of (OSPI)",
3wfx-3zuz,,,Washington State Technology Solutions (CTS),
fni8-hstz,,,"Public Instruction, Office of Superintendent of (OSPI)",
ck6w-i7c9,ydx3-umcz,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
haee-ukrp,,,"Public Instruction, Office of Superintendent of (OSPI)",
ku7k-gewn,,,"Public Instruction, Office of Superintendent of (OSPI)",
phbc-2dnd,,,"Public Instruction, Office of Superintendent of (OSPI)",
djif-rqf4,,,"Public Instruction, Office of Superintendent of (OSPI)",
6btu-y6cm,,,"Public Instruction, Office of Superintendent of (OSPI)",
mhqh-fq5h,,,"Public Instruction, Office of Superintendent of (OSPI)",
bg6u-3fab,,,"Public Instruction, Office of Superintendent of (OSPI)",
puf6-s2ax,,,"Public Instruction, Office of Superintendent of (OSPI)",
whsn-fabw,,,"Public Instruction, Office of Superintendent of (OSPI)",
dhij-a7zk,,,Asotin County Library,
736x-7yhm,,,Timberland Regional Library,
ucz3-aub2,,,"Public Instruction, Office of Superintendent of (OSPI)",
2qzx-aqid,,,"Public Instruction, Office of Superintendent of (OSPI)",
3468-axtg,,,"Public Instruction, Office of Superintendent of (OSPI)",
pxn6-cehw,,,"Public Instruction, Office of Superintendent of (OSPI)",
8kx7-vpvr,,,"Public Instruction, Office of Superintendent of (OSPI)",
fyfh-ugyk,,,"Public Instruction, Office of Superintendent of (OSPI)",
pgc6-u3b8,,,"Public Instruction, Office of Superintendent of (OSPI)",
sj3u-r7b9,,,"Public Instruction, Office of Superintendent of (OSPI)",
hp97-ssnp,,,Washington Student Achievement Council (WSAC),
szvf-e8ut,,,"Public Instruction, Office of Superintendent of (OSPI)",
grmj-ctpm,,,"Public Instruction, Office of Superintendent of (OSPI)",
6m7u-eg5z,,,"Public Instruction, Office of Superintendent of (OSPI)",
tqac-9gzu,,,"Public Instruction, Office of Superintendent of (OSPI)",
36ck-p9ps,,,"Public Instruction, Office of Superintendent of (OSPI)",
8zsg-zbki,,,"Public Instruction, Office of Superintendent of (OSPI)",
a4n5-c3ye,,,Public Disclosure Commission (PDC),
7uih-j4nm,,,Other external user,
4nkk-bdny,,,"Labor & Industries, Department of (LNI)",
eqx6-7bxh,,,"Public Instruction, Office of Superintendent of (OSPI)",
xmgj-cd2d,,,"Financial Management, Office of (OFM)",
auqf-fapm,,,"Licensing, Department of (DOL)",
4dnt-bvg3,,,Other external user,
hrc8-phqj,fx8x-eh2j,dataset,Washington State Technology Solutions (CTS),Other external user
q394-hfwy,,,"Public Instruction, Office of Superintendent of (OSPI)",
gevy-wn26,,,"Ecology, Department of (ECY)",
svkf-mjy8,,,"Public Instruction, Office of Superintendent of (OSPI)",
cv3g-gaf2,,,"Public Instruction, Office of Superintendent of (OSPI)",
pwfs-cthx,,,"Public Instruction, Office of Superintendent of (OSPI)",
xiac-qvca,,,"Public Instruction, Office of Superintendent of (OSPI)",
u8r2-wtb5,,,"Public Instruction, Office of Superintendent of (OSPI)",
sp7v-q9vy,,,"Public Instruction, Office of Superintendent of (OSPI)",
y2qf-xxzw,,,"Public Instruction, Office of Superintendent of (OSPI)",
b5wz-9uts,,,"Public Instruction, Office of Superintendent of (OSPI)",
trbk-6ezf,,,Other external user,
m9pw-8iq4,,,Higher Ed - not listed,
wesg-bd2c,,,"Public Instruction, Office of Superintendent of (OSPI)",
siri-d3cc,,,"Public Instruction, Office of Superintendent of (OSPI)",
ez4q-r69a,,,"Public Instruction, Office of Superintendent of (OSPI)",
fm9w-tjre,,,"Public Instruction, Office of Superintendent of (OSPI)",
r8gq-dg3k,,,"Public Instruction, Office of Superintendent of (OSPI)",
ku88-jnc7,,,"Public Instruction, Office of Superintendent of (OSPI)",
hwwg-vsug,,,"Salmon Recovery Office, Governor's (GSRO)",
juwk-nji2,,,"Public Instruction, Office of Superintendent of (OSPI)",
5mqg-cdic,,,"Salmon Recovery Office, Governor's (GSRO)",
ytev-3tk5,,,"Public Instruction, Office of Superintendent of (OSPI)",
ak4n-j7a7,,,"Public Instruction, Office of Superintendent of (OSPI)",
fad7-vizh,,,"Public Instruction, Office of Superintendent of (OSPI)",
nz7w-8ywp,,,"Public Instruction, Office of Superintendent of (OSPI)",
rkcp-y4hc,,,"Public Instruction, Office of Superintendent of (OSPI)",
7idh-vu53,,,"Financial Management, Office of (OFM)",
j8vq-w76s,,,"Public Instruction, Office of Superintendent of (OSPI)",
x9in-en96,,,"Public Instruction, Office of Superintendent of (OSPI)",
drt7-mf6f,,,"Financial Management, Office of (OFM)",
8x36-a4ub,,,"Public Instruction, Office of Superintendent of (OSPI)",
gxu5-h7qm,,,"Public Instruction, Office of Superintendent of (OSPI)",
ytxh-8dac,,,"Public Instruction, Office of Superintendent of (OSPI)",
77nt-5ivc,,,"Public Instruction, Office of Superintendent of (OSPI)",
bhxj-su3s,,,"Public Instruction, Office of Superintendent of (OSPI)",
f6e2-bipw,,,"Public Instruction, Office of Superintendent of (OSPI)",
umvq-sbkp,,,"Public Instruction, Office of Superintendent of (OSPI)",
v5jg-x3iw,,,"Public Instruction, Office of Superintendent of (OSPI)",
g9m8-nnk2,,,"Ecology, Department of (ECY)",
frri-p8gf,,,"Ecology, Department of (ECY)",
thkv-5m7j,,,"Public Instruction, Office of Superintendent of (OSPI)",
ha8x-hbvv,,,"Public Instruction, Office of Superintendent of (OSPI)",
bczd-spca,,,"Public Instruction, Office of Superintendent of (OSPI)",
dms8-ias7,,,Recreation and Conservation Office (RCO),
gkhn-u4cx,,,"Public Instruction, Office of Superintendent of (OSPI)",
yfdn-q4vs,,,"Public Instruction, Office of Superintendent of (OSPI)",
yrph-kj3h,,,Recreation and Conservation Office (RCO),
fe3a-tysx,,,"Public Instruction, Office of Superintendent of (OSPI)",
kjzs-3swi,,,"Public Instruction, Office of Superintendent of (OSPI)",
kyid-k8uc,,,"Public Instruction, Office of Superintendent of (OSPI)",
qdpp-7aew,,,"Public Instruction, Office of Superintendent of (OSPI)",
k26r-hauz,,,Asotin County Library,
whwr-9g8d,,,Other external user,
j8g9-w83d,,,"Public Instruction, Office of Superintendent of (OSPI)",
iha6-a4x9,,,"Public Instruction, Office of Superintendent of (OSPI)",
4vuw-6n2s,,,"Public Instruction, Office of Superintendent of (OSPI)",
smmq-qq28,,,"Public Instruction, Office of Superintendent of (OSPI)",
t6hd-hcnz,,,"Public Instruction, Office of Superintendent of (OSPI)",
6gbx-xy69,,,"Public Instruction, Office of Superintendent of (OSPI)",
p9bb-at3q,,,"Public Instruction, Office of Superintendent of (OSPI)",
