asset id,asset parent id,Parent asset type,Asset Agency,Parent Agency
bt94-6bm8,k5p7-4crk,dataset,"Licensing, Department of (DOL)",Other external user
f93f-gp3w,,,"Financial Management, Office of (OFM)",
xr77-82dz,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
c6k8-zyhf,,,Asotin County Library,
eduz-zrij,28ar-n972,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
gs3k-hp7i,,,"Labor & Industries, Department of (LNI)",
ejey-6v5s,,,"Financial Management, Office of (OFM)",
rkfz-gdvx,533j-4nbp,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
d8mu-pcf6,,,"Fish and Wildlife, Department of (DFW)",
9tkb-7qab,,,Recreation and Conservation Office (RCO),
6tzg-46qn,auvb-4rvk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
hq8f-9u23,,,"Public Instruction, Office of Superintendent of (OSPI)",
cy7a-d8rn,6fct-dcwh,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
cy7a-d8rn,5c5e-xz7u,filter,"Public Instruction, Office of Superintendent of (OSPI)","Public Instruction, Office of Superintendent of (OSPI)"
wnxa-5v7e,h7j9-vgr3,dataset,"Salmon Recovery Office, Governor's (GSRO)","Ecology, Department of (ECY)"
ekqp-bfke,hdw4-yhs4,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
bndy-4htf,,,"Public Instruction, Office of Superintendent of (OSPI)",
5ndz-hdpi,,,"Public Instruction, Office of Superintendent of (OSPI)",
s4ak-zfv9,vtkh-65is,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
6hhi-hcn2,gpri-47xz,dataset,"Financial Management, Office of (OFM)","Attorney General, Office of the (ATG)"
xz2f-5ydn,,,"Public Instruction, Office of Superintendent of (OSPI)",
ihw4-an2p,,,"Public Instruction, Office of Superintendent of (OSPI)",
qjxb-pa27,uie2-nw4g,dataset,Washington State Technology Solutions (CTS),Washington State Technology Solutions (CTS)
5e3y-yit2,kv7h-kjye,dataset,"Financial Management, Office of (OFM)",Public Disclosure Commission (PDC)
9zij-tfi5,idhm-59de,dataset,"Salmon Recovery Office, Governor's (GSRO)","Ecology, Department of (ECY)"
raxi-vijr,,,"Health, Department of (DOH)",
a2n7-rij5,,,"Licensing, Department of (DOL)",
